Data / Hora,Utilizador,Folha,Célula,Valor Anterior,Novo Valor
2025-11-11,J.Galaio,SaboresOutono,E22,,Licença LER
2025-11-11,J.Galaio,SaboresOutono,G22,,20.65
2025-11-11,J.Galaio,SaboresOutono,E21,licença audiogest,Licença Audiogest
2025-11-11,J.Galaio,Relatorio,B2,RELATÓRIO TESOURARIA Q26,RELATÓRIO GERAL Q26
2025-11-11,J.Galaio,Relatorio,F2,RELATÓRIO TESOURARIA Q26,DATA: 11/11/2025
2025-11-11,J.Galaio,Relatorio,B7,RELATÓRIO TESOURARIA Q26,Decoraçao
2025-11-11,J.Galaio,Relatorio,C7,RELATÓRIO TESOURARIA Q26,0
2025-11-11,J.Galaio,Relatorio,D7,RELATÓRIO TESOURARIA Q26,855.14
2025-11-11,J.Galaio,Relatorio,E7,RELATÓRIO TESOURARIA Q26,0
2025-11-11,J.Galaio,Relatorio,F7,RELATÓRIO TESOURARIA Q26,-855.14
2025-11-11,J.Galaio,Relatorio,B8,RELATÓRIO TESOURARIA Q26,Notas De Credito
2025-11-11,J.Galaio,Relatorio,C8,RELATÓRIO TESOURARIA Q26,800
2025-11-11,J.Galaio,Relatorio,D8,RELATÓRIO TESOURARIA Q26,0
2025-11-11,J.Galaio,Relatorio,E8,RELATÓRIO TESOURARIA Q26,0
2025-11-11,J.Galaio,Relatorio,F8,RELATÓRIO TESOURARIA Q26,800
2025-11-11,J.Galaio,Relatorio,B9,RELATÓRIO TESOURARIA Q26,Despesas gerais
2025-11-11,J.Galaio,Relatorio,C9,RELATÓRIO TESOURARIA Q26,290
2025-11-11,J.Galaio,Relatorio,D9,RELATÓRIO TESOURARIA Q26,30
2025-11-11,J.Galaio,Relatorio,E9,RELATÓRIO TESOURARIA Q26,0
2025-11-11,J.Galaio,Relatorio,F9,RELATÓRIO TESOURARIA Q26,260
2025-11-11,J.Galaio,Relatorio,B10,RELATÓRIO TESOURARIA Q26,Caspiadas
2025-11-11,J.Galaio,Relatorio,C10,RELATÓRIO TESOURARIA Q26,7400.42
2025-11-11,J.Galaio,Relatorio,D10,RELATÓRIO TESOURARIA Q26,2315.82
