evento_slug,tipo,item,data_pagamento,montante,numero_fatura,fatura_com_nif,tipo_pagamento,pago,origem_tabela,origem_linha,formula_montante,raw
contas,entrada,"Conta Associação ""Deixado Q25""",,1147.18,,,,,Entradas259,19,,"{""ITEM"": ""Conta Associação \""Deixado Q25\"""", ""MONTANTE"": 1147.18}"
contas,entrada,Deposito 23/12/25 S.Outono,,829.38,,,,,Entradas259,20,,"{""ITEM"": ""Deposito 23/12/25 S.Outono"", ""MONTANTE"": 829.38}"
contas,entrada,Deposito 29/12/25 Feira dos Santos,,3885.38,,,,,Entradas259,21,,"{""ITEM"": ""Deposito 29/12/25 Feira dos Santos"", ""MONTANTE"": 3885.38}"
contas,entrada,Deposito 07/01/26 P.D.A,,2779.81,,,,,Entradas259,22,,"{""ITEM"": ""Deposito 07/01/26 P.D.A"", ""MONTANTE"": 2779.81}"
contas,entrada,Deposito 23/01/26 BTT,,1608.52,,,,,Entradas259,23,,"{""ITEM"": ""Deposito 23/01/26 BTT"", ""MONTANTE"": 1608.52}"
contas,entrada,Entrada Patrocinio A Mó,,200.0,,,,,Entradas259,24,,"{""ITEM"": ""Entrada Patrocinio A Mó"", ""MONTANTE"": 200}"
contas,entrada,Viva Fit,,100.0,,,,,Entradas259,25,,"{""ITEM"": ""Viva Fit"", ""MONTANTE"": 100}"
contas,entrada,Hexos,,25.0,,,,,Entradas259,26,,"{""ITEM"": ""Hexos"", ""MONTANTE"": 25}"
contas,entrada,A Pedalar,,3074.48,,,,,Entradas259,27,,"{""ITEM"": ""A Pedalar"", ""MONTANTE"": 3074.48}"
contas,entrada,RibaBike,,200.0,,,,,Entradas259,28,,"{""ITEM"": ""RibaBike"", ""MONTANTE"": 200}"
contas,entrada,Caspiadas Q.Sampayo,,140.0,,,,,Entradas259,29,,"{""ITEM"": ""Caspiadas Q.Sampayo"", ""MONTANTE"": 140}"
contas,entrada,Sucata Bruxedo,,150.0,,,,,Entradas259,30,,"{""ITEM"": ""Sucata Bruxedo"", ""MONTANTE"": 150}"
contas,entrada,IPSXXXXXX,,150.0,,,,,Entradas259,31,,"{""ITEM"": ""IPSXXXXXX"", ""MONTANTE"": 150}"
contas,entrada,Deposito 24-03-2026,,3365.8,,,,,Entradas259,32,,"{""ITEM"": ""Deposito 24-03-2026"", ""MONTANTE"": 3365.8}"
contas,entrada,Caspaidas CMC 04/03/26,,25.0,,,,,Entradas259,33,,"{""ITEM"": ""Caspaidas CMC 04/03/26"", ""MONTANTE"": 25}"
contas,entrada,Caspaidas CMC 20/09/25 Entrou  05/18/2026,,250.0,,,,,Entradas259,34,,"{""ITEM"": ""Caspaidas CMC 20/09/25 Entrou  05/18/2026"", ""MONTANTE"": 250}"
contas,entrada,"Entrada Patrocinio A Mó 02 ""Publicidade Festa""",,500.0,,,,,Entradas259,35,,"{""ITEM"": ""Entrada Patrocinio A Mó 02 \""Publicidade Festa\"""", ""MONTANTE"": 500}"
contas,saida,Saidas Pagas da Conta Q26 From Eventos,,890.37,,,,,Saidas360,18,=OverViewQ26!D14,"{""ITEM"": ""Saidas Pagas da Conta Q26 From Eventos"", ""DATA DE PAGAMENTO"": null, ""MONTANTE"": 890.3700000000001}"
contas,saida,Saidas Pagas da Transferencias Q26 From Eventos,,7757.46,,,,,Saidas360,19,=OverViewQ26!D17,"{""ITEM"": ""Saidas Pagas da Transferencias Q26 From Eventos"", ""DATA DE PAGAMENTO"": null, ""MONTANTE"": 7757.464999999998}"
decoracao,entrada,(sem item),,2383.96,,,,,Entradas227,18,,"{""ITEM"": null, ""MONTANTE"": 2383.96}"
decoracao,saida,Carrinho de rolamentos,,252.73,,,,,Saidas328,18,,"{""ITEM"": ""Carrinho de rolamentos"", ""DATA DE PAGAMENTO"": null, ""MONTANTE"": 252.73}"
decoracao,saida,Banca caspiadas,,100.25,,,,,Saidas328,19,,"{""ITEM"": ""Banca caspiadas"", ""DATA DE PAGAMENTO"": null, ""MONTANTE"": 100.25}"
decoracao,saida,Andor,,250.0,,,,,Saidas328,20,,"{""ITEM"": ""Andor"", ""DATA DE PAGAMENTO"": null, ""MONTANTE"": 250}"
decoracao,saida,Gravymedal,2025-10-17,24.6,,,,,Saidas328,21,,"{""ITEM"": ""Gravymedal"", ""DATA DE PAGAMENTO"": ""2025-10-17"", ""MONTANTE"": 24.6}"
decoracao,saida,Big cartshop,2025-10-10,107.94,,,,,Saidas328,22,,"{""ITEM"": ""Big cartshop"", ""DATA DE PAGAMENTO"": ""2025-10-10"", ""MONTANTE"": 107.94}"
decoracao,saida,continente,2025-10-11,28.44,,,,,Saidas328,23,,"{""ITEM"": ""continente"", ""DATA DE PAGAMENTO"": ""2025-10-11"", ""MONTANTE"": 28.44}"
decoracao,saida,agrotevel,2025-10-11,24.0,,,,,Saidas328,24,,"{""ITEM"": ""agrotevel"", ""DATA DE PAGAMENTO"": ""2025-10-11"", ""MONTANTE"": 24}"
decoracao,saida,intermarche,2025-10-11,24.45,,,,,Saidas328,25,,"{""ITEM"": ""intermarche"", ""DATA DE PAGAMENTO"": ""2025-10-11"", ""MONTANTE"": 24.45}"
decoracao,saida,big cartshop,2025-10-30,7.5,,,,,Saidas328,26,,"{""ITEM"": ""big cartshop"", ""DATA DE PAGAMENTO"": ""2025-10-30"", ""MONTANTE"": 7.5}"
